price,imports,q_commercial,q_industrial,q_residential,wind_cap,solar_cap,hydronuc,weights,demand,b,a,bm,am
42.78443711111111,7.849333333333333,15.017089016825443,6.208846192049919,8.57687422134287,0.5024966306349206,0.8068165395238096,4.361650793650794,0.0014513453741245854,29.802809430218232,0.06965806130116983,32.78309037324006,0.05503870470200621,5.494533333333333
49.8722268,9.152633333333334,11.696366008489008,4.072831706481012,12.322485611858575,0.2904399658333333,0.008188973212333445,4.64345,0.0013822336896424621,28.091683326828594,0.0563273090641876,30.900851659511453,0.055056494890659266,6.4068433333333346
42.374318090909085,8.656545454545455,12.590105974537448,5.334229446499784,16.802437256926993,0.6164417665909092,0.023632272277954613,5.414727272727273,0.001013638039071139,34.72677267796423,0.08195240476427738,38.19944994576065,0.061286263788178454,6.059581818181819
24.95782281395349,7.286697674418605,9.559488613849373,3.6559934243589725,7.431762172987032,0.7229249741860464,0.0008738831860466978,3.4645697674418603,0.0019812016218208623,20.647244211195375,0.08272854713774093,22.711968632314914,0.08758814094566858,5.100688372093023
39.70329524242425,5.698787878787879,10.879936679857945,3.7009276556237864,9.61578714426975,0.22617787666666667,0.32164014212121206,2.5033333333333334,0.0015204570586067085,24.19665147975148,0.06094368573693748,26.61631662772663,0.04306031409225606,3.9891515151515153
44.18950146808511,6.869702127659575,9.33930649673707,3.2425948888455114,8.483460331421641,0.38194373829787237,0.007050864063829904,1.7634042553191493,0.001082749723553262,21.065361717004222,0.047670512264588946,23.171897888704645,0.04663801513548007,4.8087914893617025
79.698113,7.629428571428571,24.61990066630135,8.212723893915916,8.838232513270457,0.24041491999999998,0.7675203585714285,5.569428571428571,0.00016126059712495393,41.670857073487724,0.05228587667249753,45.8379427808365,0.02871872978258056,5.3406
32.173808915492955,8.367577464788733,14.486054625792558,3.4435901349907216,9.34114403534376,0.22637243422535216,0.0491665612484507,6.555380281690141,0.001635643199410247,27.27078879612704,0.08476083409258729,29.997867675739744,0.07802225860264322,5.857304225352113
44.532603564102565,6.954589743589744,15.389946945969228,4.689913481281073,7.03526784116762,0.26996736615384614,0.01336788351282056,4.5414102564102565,0.0008984518982676005,27.115128268417923,0.06088826185378312,29.826641095259717,0.0468505489483381,4.868212820512821
61.31236199999999,9.280999999999999,18.09224354177144,3.7912955211961856,19.308982568003717,0.43441988695652173,0.48514993434782594,9.703739130434784,0.0005298562476962772,41.192521630971335,0.06718469210331733,45.31177379406847,0.04541172300620224,6.496699999999999
35.41832223255814,5.343848837209302,9.530498970564084,3.455659695015846,7.486527419363004,0.24181446686046512,1.942890293094024e-16,2.710953488372093,0.0019812016218208623,20.472686084942936,0.05780252929689455,22.519954693437228,0.045263427235101995,3.740694186046512
31.523993625,6.7302,10.993583887097445,5.718449448694354,8.426741708636879,0.5469209465,0.040539527080000054,3.648075,0.0009214891264283082,25.13877504442868,0.07974489318666927,27.652652548871547,0.06404835707106574,4.71114
22.088773333333336,4.559539682539683,9.86138953285095,2.8618179674856723,8.416856084593016,0.0576507214238095,1.3877787807814457e-16,5.73747619047619,0.0014513453741245854,21.140063584929635,0.0957050138815448,23.2540699434226,0.06192566169791402,3.1916777777777776
29.392880490196077,7.40135294117647,14.899503162867138,3.4752305170575872,8.61263880450225,0.34039095588235296,0.1740353631,6.667294117647059,0.001174898636196093,26.987372484426974,0.09181601814571574,29.68610973286967,0.07554230294283515,5.180947058823529
20.08292605,4.8428,7.812240458581965,2.422383228717554,11.376726222941716,0.3817933955,0.24727287469999998,3.3424000000000005,0.0004607445632141541,21.611349910241234,0.10761056360231547,23.772484901265358,0.07234204798558226,3.3899600000000003
34.2299888,6.8281,12.482293374836242,3.9898169860243855,4.977589780652745,0.11297409156666666,0.006178614233333352,2.7154,0.0006911168448212311,21.449700141513375,0.0626634740281112,23.594670155664712,0.05984313965069132,4.77967
27.969948890625,6.7809636,14.087024992142574,3.00917023553903,10.314445366927458,0.06896417928124998,0.02043584920687508,4.6741028171875,0.001474382602285293,27.410640594609063,0.09800032421152045,30.15170465406997,0.07273124051656223,4.74667452
52.03728488888889,7.623055555555555,17.301511191564227,6.649281704525679,15.497707194176412,0.2618874261111111,0.8983040233333334,4.560944444444444,0.00041467010689273865,39.448500090266315,0.07580814443816118,43.393350099292945,0.04394765544646957,5.336138888888889
28.36218946153846,7.647138461538462,14.40274503747748,3.1524812350144744,9.392419905648278,0.06249269461538459,0.08534468780153846,6.032215384615385,0.0014974198304460006,26.947646178140232,0.09501257374605558,29.642410795954255,0.08088732153674487,5.352996923076923
30.32789854761905,10.046333333333333,18.369297502955206,4.219547029683379,10.475084134465899,0.15950444104761902,0.5557163916666666,4.997119047619048,0.0009675635827497235,33.063928667104484,0.10902149588501651,36.37032153381493,0.09937714593933222,7.0324333333333335
26.95159111627907,6.493790697674418,10.974362562478625,4.400990668801897,10.450623564841367,0.19173619195348837,0.7294915806976746,3.408581395348837,0.0009906008109104312,25.825976796121886,0.09582357006196454,28.408574475734074,0.07228282741814186,4.545653488372093
28.461507511363635,6.413181818181818,14.566953519028692,6.194529823019265,7.954766670618973,0.23705896117045455,0.7295923259090906,3.569227272727273,0.002027276078142278,28.716250012666933,0.10089504219409878,31.587875013933626,0.06759847645759386,4.489227272727272
32.8261166119403,8.8495223880597,10.39864448242582,4.76596623047839,9.200225121738974,0.5037755328358209,0.00027448963432849527,3.0302985074626863,0.001543494286767416,24.364835834643184,0.07422393615021956,26.801319418107504,0.08087635670715378,6.19466567164179
